Time,Status,Message,Season,Round,Date
0 days 01:10:26.389000,7,VSCEnding,2018,5,2018-05-13 14:20:26.389
0 days 01:10:40.273000,1,AllClear,2018,5,2018-05-13 14:20:40.273
0 days 01:10:45.365000,2,Yellow,2018,5,2018-05-13 14:20:45.365
0 days 01:10:53.057000,1,AllClear,2018,5,2018-05-13 14:20:53.057
0 days 00:07:26.615000,2,Yellow,2018,6,2018-05-27 13:17:26.615
0 days 00:08:23.728000,1,AllClear,2018,6,2018-05-27 13:18:23.728
0 days 00:23:43.859000,2,Yellow,2018,6,2018-05-27 13:33:43.859
0 days 00:23:52.390000,1,AllClear,2018,6,2018-05-27 13:33:52.390
0 days 01:16:03.406000,2,Yellow,2018,6,2018-05-27 14:26:03.406
0 days 01:17:08.918000,1,AllClear,2018,6,2018-05-27 14:27:08.918
0 days 01:40:35.410000,2,Yellow,2018,6,2018-05-27 14:50:35.410
0 days 01:41:19.432000,6,VSCDeployed,2018,6,2018-05-27 14:51:19.432
0 days 01:43:22.924000,7,VSCEnding,2018,6,2018-05-27 14:53:22.924
0 days 01:43:34.712000,1,AllClear,2018,6,2018-05-27 14:53:34.712
0 days 00:07:29.041000,2,Yellow,2018,7,2018-06-10 18:17:29.041
0 days 00:07:42.541000,4,SCDeployed,2018,7,2018-06-10 18:17:42.541
0 days 00:14:35.528000,1,AllClear,2018,7,2018-06-10 18:24:35.528
0 days 01:39:03.793000,2,Yellow,2018,7,2018-06-10 19:49:03.793
0 days 01:39:07.326000,1,AllClear,2018,7,2018-06-10 19:49:07.326
0 days 01:39:09.347000,2,Yellow,2018,7,2018-06-10 19:49:09.347
0 days 01:39:18.240000,1,AllClear,2018,7,2018-06-10 19:49:18.240
0 days 01:39:31.886000,2,Yellow,2018,7,2018-06-10 19:49:31.886
0 days 01:39:35.425000,1,AllClear,2018,7,2018-06-10 19:49:35.425
0 days 00:07:41.290000,2,Yellow,2018,8,2018-06-24 14:17:41.290
0 days 00:07:46.439000,1,AllClear,2018,8,2018-06-24 14:17:46.439
0 days 00:07:54.649000,2,Yellow,2018,8,2018-06-24 14:17:54.649
0 days 00:08:13.781000,4,SCDeployed,2018,8,2018-06-24 14:18:13.781
0 days 00:19:28.652000,1,AllClear,2018,8,2018-06-24 14:29:28.652
0 days 00:20:07.542000,2,Yellow,2018,8,2018-06-24 14:30:07.542
0 days 00:20:14.784000,1,AllClear,2018,8,2018-06-24 14:30:14.784
0 days 01:32:22.447000,2,Yellow,2018,8,2018-06-24 15:42:22.447
0 days 01:33:48.044000,6,VSCDeployed,2018,8,2018-06-24 15:43:48.044
0 days 01:36:11.850000,7,VSCEnding,2018,8,2018-06-24 15:46:11.850
0 days 01:36:24.477000,1,AllClear,2018,8,2018-06-24 15:46:24.477
0 days 01:36:26.822000,2,Yellow,2018,8,2018-06-24 15:46:26.822
0 days 01:41:57.006000,1,AllClear,2018,8,2018-06-24 15:51:57.006
0 days 00:08:50.939000,2,Yellow,2018,9,2018-07-01 13:18:50.939
0 days 00:08:59.637000,1,AllClear,2018,9,2018-07-01 13:18:59.637
0 days 00:20:11.925000,2,Yellow,2018,9,2018-07-01 13:30:11.925
0 days 00:20:24.836000,1,AllClear,2018,9,2018-07-01 13:30:24.836
0 days 00:20:29.649000,2,Yellow,2018,9,2018-07-01 13:30:29.649
0 days 00:20:58.721000,1,AllClear,2018,9,2018-07-01 13:30:58.721
0 days 00:22:53.051000,2,Yellow,2018,9,2018-07-01 13:32:53.051
0 days 00:23:23.891000,6,VSCDeployed,2018,9,2018-07-01 13:33:23.891
0 days 00:25:17.153000,7,VSCEnding,2018,9,2018-07-01 13:35:17.153
0 days 00:25:27.155000,1,AllClear,2018,9,2018-07-01 13:35:27.155
0 days 01:09:04.645000,2,Yellow,2018,9,2018-07-01 14:19:04.645
0 days 01:10:36.446000,1,AllClear,2018,9,2018-07-01 14:20:36.446
0 days 01:10:50.645000,2,Yellow,2018,9,2018-07-01 14:20:50.645
0 days 01:10:52.201000,1,AllClear,2018,9,2018-07-01 14:20:52.201
0 days 01:10:53.447000,2,Yellow,2018,9,2018-07-01 14:20:53.447
0 days 01:11:14.290000,1,AllClear,2018,9,2018-07-01 14:21:14.290
0 days 01:11:59.724000,2,Yellow,2018,9,2018-07-01 14:21:59.724
0 days 01:12:51.103000,1,AllClear,2018,9,2018-07-01 14:22:51.103
0 days 01:19:26.932000,2,Yellow,2018,9,2018-07-01 14:29:26.932
0 days 01:19:30.706000,1,AllClear,2018,9,2018-07-01 14:29:30.706
0 days 01:20:22.350000,2,Yellow,2018,9,2018-07-01 14:30:22.350
0 days 01:21:13.115000,1,AllClear,2018,9,2018-07-01 14:31:13.115
0 days 01:29:56.639000,2,Yellow,2018,9,2018-07-01 14:39:56.639
0 days 01:30:14.550000,1,AllClear,2018,9,2018-07-01 14:40:14.550
0 days 00:07:30.107000,2,Yellow,2018,10,2018-07-08 13:17:30.107
0 days 00:07:47.894000,1,AllClear,2018,10,2018-07-08 13:17:47.894
0 days 00:08:11.625000,2,Yellow,2018,10,2018-07-08 13:18:11.625
0 days 00:08:53.427000,1,AllClear,2018,10,2018-07-08 13:18:53.427
0 days 00:09:55.014000,2,Yellow,2018,10,2018-07-08 13:19:55.014
0 days 00:10:15.054000,1,AllClear,2018,10,2018-07-08 13:20:15.054
0 days 00:11:20.502000,2,Yellow,2018,10,2018-07-08 13:21:20.502
0 days 00:11:30.829000,1,AllClear,2018,10,2018-07-08 13:21:30.829
0 days 00:36:41.432000,2,Yellow,2018,10,2018-07-08 13:46:41.432
0 days 00:36:51.567000,1,AllClear,2018,10,2018-07-08 13:46:51.567
0 days 00:37:25.655000,2,Yellow,2018,10,2018-07-08 13:47:25.655
0 days 00:39:17.571000,1,AllClear,2018,10,2018-07-08 13:49:17.571
0 days 00:57:19.348000,2,Yellow,2018,10,2018-07-08 14:07:19.348
0 days 00:58:03.901000,4,SCDeployed,2018,10,2018-07-08 14:08:03.901
0 days 01:08:53.708000,1,AllClear,2018,10,2018-07-08 14:18:53.708
0 days 01:10:08.354000,2,Yellow,2018,10,2018-07-08 14:20:08.354
0 days 01:10:38.959000,4,SCDeployed,2018,10,2018-07-08 14:20:38.959
0 days 01:17:41.064000,1,AllClear,2018,10,2018-07-08 14:27:41.064
0 days 01:25:38.313000,2,Yellow,2018,10,2018-07-08 14:35:38.313
0 days 01:25:44.361000,1,AllClear,2018,10,2018-07-08 14:35:44.361
0 days 01:27:11.253000,2,Yellow,2018,10,2018-07-08 14:37:11.253
0 days 01:27:35.928000,1,AllClear,2018,10,2018-07-08 14:37:35.928
0 days 00:44:03.011000,2,Yellow,2018,11,2018-07-22 13:54:03.011
0 days 00:45:27.208000,1,AllClear,2018,11,2018-07-22 13:55:27.208
0 days 01:09:39.076000,2,Yellow,2018,11,2018-07-22 14:19:39.076
0 days 01:09:51.155000,1,AllClear,2018,11,2018-07-22 14:19:51.155
0 days 01:11:19.205000,2,Yellow,2018,11,2018-07-22 14:21:19.205
0 days 01:11:20.843000,1,AllClear,2018,11,2018-07-22 14:21:20.843
0 days 01:13:45.667000,2,Yellow,2018,11,2018-07-22 14:23:45.667
0 days 01:13:56.558000,1,AllClear,2018,11,2018-07-22 14:23:56.558
0 days 01:14:50.284000,2,Yellow,2018,11,2018-07-22 14:24:50.284
0 days 01:15:05.199000,1,AllClear,2018,11,2018-07-22 14:25:05.199
0 days 01:15:27.833000,2,Yellow,2018,11,2018-07-22 14:25:27.833
0 days 01:15:43.951000,4,SCDeployed,2018,11,2018-07-22 14:25:43.951
0 days 01:26:35.450000,1,AllClear,2018,11,2018-07-22 14:36:35.450
0 days 00:15:04.279000,2,Yellow,2018,12,2018-07-29 13:25:04.279
0 days 00:15:14.559000,6,VSCDeployed,2018,12,2018-07-29 13:25:14.559
0 days 00:16:02.173000,7,VSCEnding,2018,12,2018-07-29 13:26:02.173
