LapStartTime,Driver,LapNumber,LapTime,TyreLife,Sector1Time,Sector2Time,Sector3Time,Stint,Compound,Position,TrackStatus
0 days 02:14:43.724000,MAG,44.0,0 days 00:01:38.688000,10.0,0 days 00:00:31.623000,0 days 00:00:42.850000,0 days 00:00:24.215000,3.0,MEDIUM,7.0,
0 days 02:14:50.765000,GAS,44.0,0 days 00:01:38.704000,12.0,0 days 00:00:31.563000,0 days 00:00:42.866000,0 days 00:00:24.275000,3.0,HARD,8.0,
0 days 02:15:00.672000,OCO,44.0,0 days 00:01:56.780000,4.0,0 days 00:00:51.419000,0 days 00:00:41.660000,0 days 00:00:23.701000,4.0,SOFT,12.0,
0 days 02:15:00.698000,TSU,44.0,0 days 00:01:41.039000,15.0,0 days 00:00:31.611000,0 days 00:00:42.801000,0 days 00:00:26.627000,3.0,SOFT,10.0,
0 days 02:15:02.145000,BOT,44.0,0 days 00:01:38.386000,8.0,0 days 00:00:31.477000,0 days 00:00:42.794000,0 days 00:00:24.115000,3.0,MEDIUM,9.0,
0 days 02:15:07.859000,ZHO,44.0,0 days 00:01:37.785000,7.0,0 days 00:00:31.262000,0 days 00:00:42.526000,0 days 00:00:23.997000,3.0,MEDIUM,11.0,
0 days 02:15:12.638000,LEC,45.0,0 days 00:01:37.413000,14.0,0 days 00:00:31.297000,0 days 00:00:42.090000,0 days 00:00:24.026000,3.0,MEDIUM,1.0,
0 days 02:15:23.074000,MSC,44.0,0 days 00:01:38.279000,11.0,0 days 00:00:31.275000,0 days 00:00:42.655000,0 days 00:00:24.349000,3.0,SOFT,13.0,
0 days 02:15:25.946000,ALO,44.0,0 days 00:01:36.733000,2.0,0 days 00:00:31.065000,0 days 00:00:41.855000,0 days 00:00:23.813000,4.0,SOFT,14.0,
0 days 02:15:32.946000,SAI,45.0,0 days 00:02:03.686000,4.0,0 days 00:00:51.201000,0 days 00:00:41.487000,0 days 00:00:30.998000,4.0,SOFT,3.0,
0 days 02:15:39.761000,VER,45.0,0 days 00:01:35.747000,5.0,0 days 00:00:30.587000,0 days 00:00:41.430000,0 days 00:00:23.730000,4.0,SOFT,2.0,
0 days 02:15:42.031000,STR,44.0,0 days 00:01:38.281000,6.0,0 days 00:00:31.459000,0 days 00:00:42.665000,0 days 00:00:24.157000,3.0,MEDIUM,15.0,
0 days 02:15:49.656000,ALB,44.0,0 days 00:01:46.225000,11.0,0 days 00:00:31.590000,0 days 00:00:43.480000,0 days 00:00:31.155000,3.0,MEDIUM,16.0,
0 days 02:15:53.894000,RIC,44.0,0 days 00:01:49.227000,11.0,0 days 00:00:32.841000,0 days 00:00:43.788000,0 days 00:00:32.598000,3.0,HARD,17.0,
0 days 02:15:54.411000,HAM,45.0,0 days 00:02:11.741000,4.0,0 days 00:00:53.080000,0 days 00:00:47.415000,0 days 00:00:31.246000,4.0,SOFT,6.0,
0 days 02:15:55.619000,PER,45.0,0 days 00:01:43.562000,5.0,0 days 00:00:30.784000,0 days 00:00:41.289000,0 days 00:00:31.489000,4.0,SOFT,4.0,
0 days 02:16:03.360000,NOR,44.0,0 days 00:01:45.936000,3.0,0 days 00:00:31.091000,0 days 00:00:42.257000,0 days 00:00:32.588000,3.0,SOFT,18.0,
0 days 02:16:06.052000,LAT,44.0,0 days 00:01:51.928000,12.0,0 days 00:00:32.215000,0 days 00:00:44.079000,0 days 00:00:35.634000,3.0,MEDIUM,19.0,
