Circuit_ID,LapNumber,AvgTyreLife,TyreLifeSpread,FieldSpread,S1_Variance,S2_Variance,S3_Variance,CarsRunning,RainStint,AvgCompound,WindSpeed,TrackTemp,Target
12,8.0,8.61111111111111,1.500544563459581,2.766999999999996,0.29291601330359746,0.23004728130101207,0.3395436624247478,18,0,1.3333333333333333,3.15,36.95,0
12,9.0,10.6,0.9660917830792959,1.441999999999993,0.19136596701956543,0.17505253179799662,0.21705554844580868,18,0,1.2,3.9833333333333325,37.62222222222223,0
12,11.0,11.61111111111111,1.500544563459581,2.6599999999999966,0.27070057379620505,0.231561762113702,0.3499395139144666,18,0,1.3333333333333333,3.2499999999999996,38.37222222222222,0
12,12.0,12.61111111111111,1.500544563459581,3.4690000000000083,0.30646912328881015,0.24293833774789947,0.4318835362558856,18,0,1.3333333333333333,1.4833333333333332,37.41111111111112,0
12,13.0,13.61111111111111,1.500544563459581,3.0120000000000005,0.25920615360241633,0.19104538693535875,0.3591324513978913,18,0,1.3333333333333333,1.5944444444444446,36.583333333333336,0
12,14.0,14.61111111111111,1.500544563459581,3.1299999999999955,0.33577317370958415,0.2041816441084984,0.4344692502488122,18,0,1.3333333333333333,1.3166666666666667,36.238888888888894,0
12,15.0,15.705882352941176,1.4901638283404002,3.0729999999999933,0.290295754360962,0.2600962491531345,0.38757674761796207,17,0,1.3529411764705883,2.1882352941176473,36.25882352941177,0
12,16.0,16.705882352941178,1.4901638283404002,3.3670000000000044,0.30246063185732047,0.20378151145716036,0.42657415223257583,17,0,1.3529411764705883,2.176470588235294,37.49411764705883,0
12,17.0,17.705882352941178,1.4901638283404002,3.977000000000004,0.3561928075866643,0.25327930119092806,0.4357953935047966,17,0,1.3529411764705883,1.1764705882352942,38.11764705882353,0
12,18.0,18.705882352941178,1.4901638283404002,18.006,0.31153453212426147,0.20807173183360422,4.0640753443325535,17,0,1.3529411764705883,2.988235294117647,38.4,0
12,19.0,18.529411764705884,4.744966373153021,16.561999999999998,1.126102485932577,0.2777937104907807,3.9966588867894317,17,0,1.4705882352941178,3.4588235294117644,38.58823529411765,0
12,20.0,18.352941176470587,6.50904348263426,20.52199999999999,1.2480927213859034,0.26420352003711056,4.564983998264591,17,0,1.588235294117647,2.9,38.6,0
12,21.0,18.235294117647058,7.878208963374115,18.40700000000001,1.329167685167721,0.2638846533887821,4.0873327650624365,17,0,1.6470588235294117,3.7294117647058824,38.47647058823529,1
12,22.0,17.6875,9.170378036555164,27.426999999999992,1.239000349744368,1.4401287312250943,6.66397913130736,17,0,1.625,3.2,38.3,1
12,23.0,14.5,14.849242404917497,0.7259999999999991,0.025455844122716675,0.18172644276494374,0.35708892449920326,16,0,2.0,2.625,38.34375,1
12,32.0,8.2,3.0047581314594076,5.332999999999998,0.7403529917417452,0.41211558711465507,0.6346568476631405,15,0,2.466666666666667,3.9666666666666663,37.3,0
12,33.0,9.2,3.0047581314594076,3.4220000000000113,0.39608095613084465,0.33080980005060884,0.4980891295264137,15,0,2.466666666666667,3.166666666666666,37.3,0
12,34.0,10.2,3.0047581314594076,3.128,0.315321106175911,0.25948511288612297,0.5417328897247466,15,0,2.466666666666667,3.9733333333333336,37.39999999999999,0
12,35.0,11.2,3.0047581314594076,3.5489999999999924,0.3746198962504084,0.2822498049263314,0.5532016768214779,15,0,2.466666666666667,4.113333333333332,37.473333333333336,0
12,36.0,12.2,3.0047581314594076,3.310999999999993,0.33187559344400347,0.2536501715430315,0.4551134029270168,15,0,2.466666666666667,5.086666666666668,37.5,0
12,37.0,13.2,3.0047581314594076,3.1140000000000043,0.3168074373826352,0.25453034247039247,0.45600120091738233,15,0,2.466666666666667,4.2200000000000015,37.260000000000005,0
12,38.0,14.2,3.0047581314594076,3.034000000000006,0.23865961016437126,0.2542028998373432,0.4544071281298724,15,0,2.466666666666667,4.6,36.986666666666665,0
12,39.0,15.2,3.0047581314594076,3.951999999999998,0.36833382891584865,0.305633175711077,0.4257762099417735,15,0,2.466666666666667,5.7200000000000015,36.75333333333333,0
12,40.0,16.2,3.0047581314594076,3.538000000000011,0.36747357533764097,0.27922353223247687,0.5595575888486329,15,0,2.466666666666667,3.0533333333333332,36.606666666666676,0
12,41.0,17.2,3.0047581314594076,3.2379999999999995,0.328805732194269,0.24859504266596946,0.4939232830347329,15,0,2.466666666666667,5.666666666666666,36.7,0
12,42.0,18.2,3.0047581314594076,2.9950000000000045,0.2909342095486786,0.2325841987836008,0.4387796713613786,15,0,2.466666666666667,3.8266666666666658,36.513333333333335,0
12,43.0,19.2,3.0047581314594076,2.8840000000000003,0.2746345623863516,0.21407397475327686,0.42769355963397576,15,0,2.466666666666667,4.173333333333335,36.7,0
12,44.0,20.2,3.0047581314594076,2.546999999999997,0.2795289404899405,0.2459591913499547,0.3958846272529894,15,0,2.466666666666667,4.873333333333333,36.51333333333333,0
12,45.0,21.2,3.0047581314594076,2.902000000000001,0.2954906815064445,0.2582805230198914,0.44357635301307746,15,0,2.466666666666667,3.8000000000000016,36.34,0
12,46.0,22.2,3.0047581314594076,3.1970000000000027,0.28705818225579266,0.2603051688929373,0.45475139205001697,15,0,2.466666666666667,5.033333333333332,36.480000000000004,0
12,47.0,23.2,3.0047581314594076,2.3629999999999995,0.28136830633446236,0.4331729226906741,0.3014043005349332,15,0,2.466666666666667,5.16,36.1,0
12,48.0,24.2,3.0047581314594076,7.122,0.24773593852748801,0.26828215424383756,1.3654216931043677,15,0,2.466666666666667,4.1,35.7,0
12,49.0,25.2,3.0047581314594076,3.35799999999999,0.24725281066340252,0.2978534794795843,0.4886203901949715,15,0,2.466666666666667,4.44,35.46,0
12,50.0,26.2,3.0047581314594076,5.760999999999996,0.8108755291717238,0.26520328231826396,0.460373947382528,15,0,2.466666666666667,4.666666666666667,34.333333333333336,0
12,51.0,27.2,3.0047581314594076,2.6269999999999953,0.275585558402468,0.1844514905902154,0.41960516588585367,15,0,2.466666666666667,3.1800000000000006,34.0,0
12,52.0,28.2,3.0047581314594076,2.899000000000001,0.2641983021465933,0.23068805983921434,0.402345800098799,15,0,2.466666666666667,3.6399999999999997,33.90666666666666,0
12,53.0,29.2,3.0047581314594076,4.466000000000008,0.6933017277594843,0.23416125904618648,0.37431893709331177,15,0,2.466666666666667,4.013333333333334,33.62000000000001,0
12,54.0,30.2,3.0047581314594076,3.0400000000000063,0.28819358573213055,0.2264269670966148,0.4130111032751682,15,0,2.466666666666667,3.94,33.519999999999996,0
12,55.0,31.2,3.0047581314594076,2.837999999999994,0.2442605361572133,0.2152944384746042,0.3988394234705063,15,0,2.466666666666667,4.546666666666667,33.573333333333345,0
12,56.0,32.2,3.0047581314594076,2.3299999999999983,0.2518346018057615,0.20866770119932204,0.36870173776180065,15,0,2.466666666666667,4.1466666666666665,33.50666666666666,0
12,57.0,33.2,3.0047581314594076,2.653000000000006,0.3020114630432491,0.2360519918516745,0.38071376574609433,15,0,2.466666666666667,4.720000000000001,33.25333333333332,0
12,58.0,34.07142857142857,3.075068122179402,7.149000000000001,0.4173613871365286,0.4164321772410937,1.2813523612287034,14,0,2.5714285714285716,3.8142857142857145,33.142857142857146,0
23,7.0,7.333333333333333,1.6803361008336117,4.370999999999995,0.45162624086506353,0.5492516269190313,0.26812052820897336,18,0,2.4444444444444446,1.3,32.9,0
23,8.0,8.333333333333334,1.6803361008336117,3.799999999999997,0.34795698780090195,0.4797336849719139,0.29378172614098913,18,0,2.4444444444444446,1.3,33.1,0
23,9.0,9.333333333333334,1.6803361008336117,5.427000000000007,0.3414760348149501,0.5158242087950936,0.759973778357418,18,0,2.4444444444444446,0.8999999999999999,32.79999999999999,0
23,10.0,11.75,0.5,0.5319999999999965,0.0902676575524136,0.2918611256516836,0.0951455026087249,18,0,2.25,1.3,32.79999999999999,0
23,12.0,10.88888888888889,4.2410998696771065,2.3089999999999975,0.265504674207713,0.3927470560042428,0.12428944712511462,18,0,2.5,1.166666666666667,32.70000000000001,0
